"Link_link__1AZfr href","ProductCard_card__cover__19-g3 src","Link_link__1AZfr","Link_link__1AZfr href 2","Link_link__1AZfr 2","ProductPrice_productPrice__price__3-50j","ProductPrice_productPrice__unit__2jvkA"
"https://www.traderjoes.com/home/products/pdp/korean-bugak-sticky-rice-and-seaweed-crisps-082360","https://www.traderjoes.com/content/dam/trjo/products/m21001/82360.png/jcr:content/renditions/cq5dam.web.1280.1280","Chips, Crackers & Crunchy Bites","https://www.traderjoes.com/home/products/category/chips-crackers-crunchy-bites-170","Korean Bugak Sticky Rice and Seaweed Crisps","$3.29","/1.76 Oz"
"https://www.traderjoes.com/home/products/pdp/jambalaya-083570","https://www.traderjoes.com/content/dam/trjo/products/m20602/83570.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Sides","https://www.traderjoes.com/home/products/category/entrees-sides-101","Jambalaya","$5.49","/16 Oz"
"https://www.traderjoes.com/home/products/pdp/greek-style-chicken-salad-083241","https://www.traderjoes.com/content/dam/trjo/products/m20501/83241.png/jcr:content/renditions/cq5dam.web.1280.1280","Salads, Soups & Sides","https://www.traderjoes.com/home/products/category/salads-soups-sides-83","Greek Style Chicken Salad","$5.49","/10 Oz"
"https://www.traderjoes.com/home/products/pdp/freeze-dried-apricots-081215","https://www.traderjoes.com/content/dam/trjo/products/m21003/81215.png/jcr:content/renditions/cq5dam.web.1280.1280","Nuts, Dried Fruits, Seeds","https://www.traderjoes.com/home/products/category/nuts-dried-fruits-seeds-176","Freeze Dried Apricots","$4.99","/1.4 Oz"
"https://www.traderjoes.com/home/products/pdp/chicken-breast-bites-083000","https://www.traderjoes.com/content/dam/trjo/products/m20503/83000.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Center of Plate","https://www.traderjoes.com/home/products/category/entrees-center-of-plate-89","Chicken Breast Bites","$3.99","/3.98 Oz"
"https://www.traderjoes.com/home/products/pdp/breakfast-bowl-082864","https://www.traderjoes.com/content/dam/trjo/products/m20602/82864.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Sides","https://www.traderjoes.com/home/products/category/entrees-sides-101","Breakfast Bowl","$3.49","/7 Oz"
"https://www.traderjoes.com/home/products/pdp/thai-style-yellow-curry-flavored-potato-chips-083165","https://www.traderjoes.com/content/dam/trjo/products/m21001/83165.png/jcr:content/renditions/cq5dam.web.1280.1280","Chips, Crackers & Crunchy Bites","https://www.traderjoes.com/home/products/category/chips-crackers-crunchy-bites-170","Thai Style Yellow Curry Flavored Potato Chips","$2.99","/6 Oz"
"https://www.traderjoes.com/home/products/pdp/sweet-onion-style-pretzel-twists-083530","https://www.traderjoes.com/content/dam/trjo/products/m21001/83530.png/jcr:content/renditions/cq5dam.web.1280.1280","Chips, Crackers & Crunchy Bites","https://www.traderjoes.com/home/products/category/chips-crackers-crunchy-bites-170","Sweet Onion Style Pretzel Twists","$3.69","/12 Oz"
"https://www.traderjoes.com/home/products/pdp/spicy-spuds-082237","https://www.traderjoes.com/content/dam/trjo/products/m20602/82237.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Sides","https://www.traderjoes.com/home/products/category/entrees-sides-101","Spicy Spuds","$4.49","/20 Oz"
"https://www.traderjoes.com/home/products/pdp/dark-chocolate-covered-crunchy-corn-kernels-078521","https://www.traderjoes.com/content/dam/trjo/products/m21002/78521.png/jcr:content/renditions/cq5dam.web.1280.1280","Candies & Cookies","https://www.traderjoes.com/home/products/category/candies-cookies-173","Dark Chocolate Covered Crunchy Corn Kernels","$3.99","/8 Oz"
"https://www.traderjoes.com/home/products/pdp/toasted-coconut-mini-sheet-cake-083751","https://www.traderjoes.com/content/dam/trjo/products/m20105/83751.png/jcr:content/renditions/cq5dam.web.1280.1280","Sweet Stuff","https://www.traderjoes.com/home/products/category/sweet-stuff-26","Toasted Coconut Mini Sheet Cake","$5.99","/18 Oz"
"https://www.traderjoes.com/home/products/pdp/blonde-bar-081224","https://www.traderjoes.com/content/dam/trjo/products/m21002/81224.png/jcr:content/renditions/cq5dam.web.1280.1280","Candies & Cookies","https://www.traderjoes.com/home/products/category/candies-cookies-173","Blonde Bar","$2.69","/2.64 Oz"
"https://www.traderjoes.com/home/products/pdp/marinated-fresh--mozzarella-cheese-072725","https://www.traderjoes.com/content/dam/trjo/products/m20203/72725-marinated-mozzarella-cheese.png/jcr:content/renditions/cq5dam.web.1280.1280","Wedges, Wheels, Loaves, Logs","https://www.traderjoes.com/home/products/category/wedges-wheels-loaves-logs-38","Marinated Fresh 
Mozzarella Cheese","$5.99","/12 Oz"
"https://www.traderjoes.com/home/products/pdp/sprouted-wheat-multigrain-bread-037066","https://www.traderjoes.com/content/dam/trjo/products/m20101/37066.png/jcr:content/renditions/cq5dam.web.1280.1280","Sliced Bread","https://www.traderjoes.com/home/products/category/sliced-bread-14","Sprouted Wheat Multigrain Bread","$4.49","/24 Oz"
"https://www.traderjoes.com/home/products/pdp/chopped-salad-blend-083284","https://www.traderjoes.com/content/dam/trjo/products/m20501/83284.png/jcr:content/renditions/cq5dam.web.1280.1280","Salads, Soups & Sides","https://www.traderjoes.com/home/products/category/salads-soups-sides-83","Chopped Salad Blend","$2.99","/9 Oz"
"https://www.traderjoes.com/home/products/pdp/butter-caramel-hard-candies-080748","https://www.traderjoes.com/content/dam/trjo/products/m21002/80748.png/jcr:content/renditions/cq5dam.web.1280.1280","Candies & Cookies","https://www.traderjoes.com/home/products/category/candies-cookies-173","Butter Caramel Hard Candies","$2.79","/8.11 Oz"
"https://www.traderjoes.com/home/products/pdp/patagonian-scallops-081061","https://www.traderjoes.com/content/dam/trjo/products/m20803/81061.png/jcr:content/renditions/cq5dam.web.1280.1280","Fish & Seafood","https://www.traderjoes.com/home/products/category/fish-seafood-131","Patagonian Scallops","$9.99","/16 Oz"
"https://www.traderjoes.com/home/products/pdp/stuffed-peppers-082821","https://www.traderjoes.com/content/dam/trjo/products/m20503/82821.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Center of Plate","https://www.traderjoes.com/home/products/category/entrees-center-of-plate-89","Stuffed Peppers","$6.99","/15 Oz"
"https://www.traderjoes.com/home/products/pdp/organic-sour-apple-cherry-fruit-leather-wrap-083371","https://www.traderjoes.com/content/dam/trjo/products/m21002/83371.png/jcr:content/renditions/cq5dam.web.1280.1280","Candies & Cookies","https://www.traderjoes.com/home/products/category/candies-cookies-173","Organic Sour Apple Cherry Fruit Leather Wrap","$0.49","/0.5 Oz"
"https://www.traderjoes.com/home/products/pdp/ice-cube-baby-iceberg-lettuce-083758","https://www.traderjoes.com/content/dam/trjo/products/m20702/83758.png/jcr:content/renditions/cq5dam.web.1280.1280","Veggies","https://www.traderjoes.com/home/products/category/veggies-119","Ice Cube Baby Iceberg Lettuce","$2.99","/1 Each"
"https://www.traderjoes.com/home/products/pdp/jubilant-sprinkle-cookies-080453","https://www.traderjoes.com/content/dam/trjo/products/m21002/80453.png/jcr:content/renditions/cq5dam.web.1280.1280","Candies & Cookies","https://www.traderjoes.com/home/products/category/candies-cookies-173","Jubilant Sprinkle Cookies","$3.99","/10 Oz"
"https://www.traderjoes.com/home/products/pdp/hot-honey-goat-milk-cheese-083506","https://www.traderjoes.com/content/dam/trjo/products/m20203/83506.png/jcr:content/renditions/cq5dam.web.1280.1280","Wedges, Wheels, Loaves, Logs","https://www.traderjoes.com/home/products/category/wedges-wheels-loaves-logs-38","Hot Honey Goat Milk Cheese","$2.99","/4 Oz"
"https://www.traderjoes.com/home/products/pdp/dillicious-cream-cheese-spread-082381","https://www.traderjoes.com/content/dam/trjo/products/m20204/82381.png/jcr:content/renditions/cq5dam.web.1280.1280","Cream and Creamy Cheeses","https://www.traderjoes.com/home/products/category/cream-and-creamy-cheeses-41","Dill•icious Cream Cheese Spread","$2.79","/8 Oz"
"https://www.traderjoes.com/home/products/pdp/unexpected-cheddar-cheese-snackers-082380","https://www.traderjoes.com/content/dam/trjo/products/m20202/82380.png/jcr:content/renditions/cq5dam.web.1280.1280","Packaged for Snacking","https://www.traderjoes.com/home/products/category/packaged-for-snacking-35","Unexpected Cheddar Cheese Snackers","$4.99","/6 Oz"
"https://www.traderjoes.com/home/products/pdp/spicy-alfredo-fusilloni-pasta-082462","https://www.traderjoes.com/content/dam/trjo/products/m20602/82462.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Sides","https://www.traderjoes.com/home/products/category/entrees-sides-101","Spicy Alfredo Fusilloni Pasta","$4.79","/16 Oz"
"https://www.traderjoes.com/home/products/pdp/smoked-steelhead-trout-081851","https://www.traderjoes.com/content/dam/trjo/products/m20803/81851.png/jcr:content/renditions/cq5dam.web.1280.1280","Fish & Seafood","https://www.traderjoes.com/home/products/category/fish-seafood-131","Smoked Steelhead Trout","$5.49","/4 Oz"
"https://www.traderjoes.com/home/products/pdp/chicken-sausage-ravioli-082924","https://www.traderjoes.com/content/dam/trjo/products/m20503/82924.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Center of Plate","https://www.traderjoes.com/home/products/category/entrees-center-of-plate-89","Chicken Sausage Ravioli","$4.49","/9 Oz"
"https://www.traderjoes.com/home/products/pdp/soft-pretzel-stick-083756","https://www.traderjoes.com/content/dam/trjo/products/m20102/83756.png/jcr:content/renditions/cq5dam.web.1280.1280","Loaves, Rolls, Buns","https://www.traderjoes.com/home/products/category/loaves-rolls-buns-17","Soft Pretzel Stick","$0.99","/3 Oz"
"https://www.traderjoes.com/home/products/pdp/sourdough-bread-sliced-000152","https://www.traderjoes.com/content/dam/trjo/products/m20101/00152.png/jcr:content/renditions/cq5dam.web.1280.1280","Sliced Bread","https://www.traderjoes.com/home/products/category/sliced-bread-14","Sourdough Bread Sliced","$3.69","/24 Oz"
"https://www.traderjoes.com/home/products/pdp/organic-low-sodium-chicken-broth-087063","https://www.traderjoes.com/content/dam/trjo/products/m20905/87063.png/jcr:content/renditions/cq5dam.web.1280.1280","For Baking & Cooking","https://www.traderjoes.com/home/products/category/for-baking-cooking-152","Organic Low Sodium Chicken Broth","$2.19","/32 Fl Oz"
"https://www.traderjoes.com/home/products/pdp/pizza-bianca-082644","https://www.traderjoes.com/content/dam/trjo/products/m20602/82644.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Sides","https://www.traderjoes.com/home/products/category/entrees-sides-101","Pizza Bianca","$4.99","/12.2 Oz"
"https://www.traderjoes.com/home/products/pdp/onion-flowers-080797","https://www.traderjoes.com/content/dam/trjo/products/m20601/80797.png/jcr:content/renditions/cq5dam.web.1280.1280","Appetizers","https://www.traderjoes.com/home/products/category/appetizers-98","Onion Flowers","$5.49","/10.58 Oz"
"https://www.traderjoes.com/home/products/pdp/morning-buns-082774","https://www.traderjoes.com/content/dam/trjo/products/m20604/82774.png/jcr:content/renditions/cq5dam.web.1280.1280","Cool Desserts","https://www.traderjoes.com/home/products/category/cool-desserts-107","Morning Buns","$4.99","/8.4 Oz"
"https://www.traderjoes.com/home/products/pdp/strawberry-strained-thick-creamy-greek-yogurt-082562","https://www.traderjoes.com/content/dam/trjo/products/m20303/82562.png/jcr:content/renditions/cq5dam.web.1280.1280","Yogurt, etc.","https://www.traderjoes.com/home/products/category/yogurt-etc-53","Strawberry Strained Thick & Creamy Greek Yogurt","$5.49","/32 Oz"
"https://www.traderjoes.com/home/products/pdp/raspberry-muffins-082561","https://www.traderjoes.com/content/dam/trjo/products/m20105/82561.png/jcr:content/renditions/cq5dam.web.1280.1280","Sweet Stuff","https://www.traderjoes.com/home/products/category/sweet-stuff-26","Raspberry Muffins","$5.49","/14 Oz"
"https://www.traderjoes.com/home/products/pdp/cookies-n-cream-mini-sheet-cake-083848","https://www.traderjoes.com/content/dam/trjo/products/m20105/83848.png/jcr:content/renditions/cq5dam.web.1280.1280","Sweet Stuff","https://www.traderjoes.com/home/products/category/sweet-stuff-26","Cookies 'n Cream Mini Sheet Cake","$5.99","/18 Oz"
"https://www.traderjoes.com/home/products/pdp/alfredo-pasta-sauce-088617","https://www.traderjoes.com/content/dam/trjo/products/m20402/88617.png/jcr:content/renditions/cq5dam.web.1280.1280","BBQ, Pasta, Simmer","https://www.traderjoes.com/home/products/category/bbq-pasta-simmer-65","Alfredo Pasta Sauce","$3.49","/16 Oz"
"https://www.traderjoes.com/home/products/pdp/premium-angus-beef-boneless-chuck-roast-083882","https://www.traderjoes.com/content/dam/trjo/products/m20801/83882.png/jcr:content/renditions/cq5dam.web.1280.1280","Beef, Pork & Lamb","https://www.traderjoes.com/home/products/category/beef-pork-lamb-125","Premium Angus Beef Boneless Chuck Roast","$8.99","/1 Lb"
"https://www.traderjoes.com/home/products/pdp/raspberry-oat-bites-082782","https://www.traderjoes.com/content/dam/trjo/products/m20907/82782.png/jcr:content/renditions/cq5dam.web.1280.1280","Cereals","https://www.traderjoes.com/home/products/category/cereals-158","Raspberry Oat Bites","$3.99","/7.8 Oz"
"https://www.traderjoes.com/home/products/pdp/pbj-oat-bites-082780","https://www.traderjoes.com/content/dam/trjo/products/m20907/82780.png/jcr:content/renditions/cq5dam.web.1280.1280","Cereals","https://www.traderjoes.com/home/products/category/cereals-158","""PB&J"" Oat Bites","$3.99","/7.8 Oz"
"https://www.traderjoes.com/home/products/pdp/dark-chocolate-sticks-with-crispy-rice-079515","https://www.traderjoes.com/content/dam/trjo/products/m21002/79515.png/jcr:content/renditions/cq5dam.web.1280.1280","Candies & Cookies","https://www.traderjoes.com/home/products/category/candies-cookies-173","Dark Chocolate Sticks with Crispy Rice","$2.99","/3.5 Oz"
"https://www.traderjoes.com/home/products/pdp/sliced-porridge-bread-083034","https://www.traderjoes.com/content/dam/trjo/products/m20101/83034.png/jcr:content/renditions/cq5dam.web.1280.1280","Sliced Bread","https://www.traderjoes.com/home/products/category/sliced-bread-14","Sliced Porridge Bread","$4.49","/17.63 Oz"
"https://www.traderjoes.com/home/products/pdp/birds-eye-chile-hot-sauce-075660","https://www.traderjoes.com/content/dam/trjo/products/m20403/75660.png/jcr:content/renditions/cq5dam.web.1280.1280","Salsa & Hot Sauce","https://www.traderjoes.com/home/products/category/salsa-hot-sauce-68","Bird's Eye Chile Hot Sauce","$2.99","/4.22 Fl Oz"
"https://www.traderjoes.com/home/products/pdp/extra-choice-california-apricots-067326","https://www.traderjoes.com/content/dam/trjo/products/m21003/67326.png/jcr:content/renditions/cq5dam.web.1280.1280","Nuts, Dried Fruits, Seeds","https://www.traderjoes.com/home/products/category/nuts-dried-fruits-seeds-176","Extra Choice California Apricots","$4.99","/8 Oz"
"https://www.traderjoes.com/home/products/pdp/california-slab-apricots-067325","https://www.traderjoes.com/content/dam/trjo/products/m21003/67325.png/jcr:content/renditions/cq5dam.web.1280.1280","Nuts, Dried Fruits, Seeds","https://www.traderjoes.com/home/products/category/nuts-dried-fruits-seeds-176","California Slab Apricots","$4.99","/8 Oz"
"https://www.traderjoes.com/home/products/pdp/just-mango-slices-094329","https://www.traderjoes.com/content/dam/trjo/products/m21003/94329.png/jcr:content/renditions/cq5dam.web.1280.1280","Nuts, Dried Fruits, Seeds","https://www.traderjoes.com/home/products/category/nuts-dried-fruits-seeds-176","Just Mango Slices","$2.99","/6 Oz"
"https://www.traderjoes.com/home/products/pdp/cha-siu-bao-steamed-pork-buns-095294","https://www.traderjoes.com/content/dam/trjo/products/m20602/95294.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Sides","https://www.traderjoes.com/home/products/category/entrees-sides-101","Cha Siu Bao Steamed Pork Buns","$3.99","/8 Oz"
"https://www.traderjoes.com/home/products/pdp/organic-peeled-ginger-083154","https://www.traderjoes.com/content/dam/trjo/products/m20702/83154.png/jcr:content/renditions/cq5dam.web.1280.1280","Veggies","https://www.traderjoes.com/home/products/category/veggies-119","Organic Peeled Ginger","$3.49","/4 Oz"
"https://www.traderjoes.com/home/products/pdp/organic-basmati-rice-082778","https://www.traderjoes.com/content/dam/trjo/products/m20602/82778.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Sides","https://www.traderjoes.com/home/products/category/entrees-sides-101","Organic Basmati Rice","$4.99","/30 Oz"
"https://www.traderjoes.com/home/products/pdp/uncured-salami-snacker-080865","https://www.traderjoes.com/content/dam/trjo/products/m20501/80865.png/jcr:content/renditions/cq5dam.web.1280.1280","Salads, Soups & Sides","https://www.traderjoes.com/home/products/category/salads-soups-sides-83","Uncured Salami Snacker","$2.69","/3 Oz"
"https://www.traderjoes.com/home/products/pdp/mini-uncured-salami-sticks-080861","https://www.traderjoes.com/content/dam/trjo/products/m20801/80861.png/jcr:content/renditions/cq5dam.web.1280.1280","Beef, Pork & Lamb","https://www.traderjoes.com/home/products/category/beef-pork-lamb-125","Mini Uncured Salami Sticks","$1.99","/2 Oz"
"https://www.traderjoes.com/home/products/pdp/mini-uncured-pepperoni-sticks-082197","https://www.traderjoes.com/content/dam/trjo/products/m20801/82197.png/jcr:content/renditions/cq5dam.web.1280.1280","Beef, Pork & Lamb","https://www.traderjoes.com/home/products/category/beef-pork-lamb-125","Mini Uncured Pepperoni Sticks","$1.99","/2 Oz"
"https://www.traderjoes.com/home/products/pdp/sauerkraut-with-pickled-persian-cucumbers-053094","https://www.traderjoes.com/content/dam/trjo/products/m20501/53094.png/jcr:content/renditions/cq5dam.web.1280.1280","Dessert & Sweets","https://www.traderjoes.com/home/products/category/dessert-sweets-92","Sauerkraut with Pickled Persian Cucumbers","$4.49","/18 Oz"
"https://www.traderjoes.com/home/products/pdp/mini-beef-tacos-082409","https://www.traderjoes.com/content/dam/trjo/products/m20602/82409.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Sides","https://www.traderjoes.com/home/products/category/entrees-sides-101","Mini Beef Tacos","$6.49","/16 Oz"
"https://www.traderjoes.com/home/products/pdp/beef-queso-bowl-082551","https://www.traderjoes.com/content/dam/trjo/products/m20602/82551.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Sides","https://www.traderjoes.com/home/products/category/entrees-sides-101","Beef & Queso Bowl","$4.49","/9.5 Oz"
"https://www.traderjoes.com/home/products/pdp/organic-double-chocolate-batard-082123","https://www.traderjoes.com/content/dam/trjo/products/m20105/82123.png/jcr:content/renditions/cq5dam.web.1280.1280","Sweet Stuff","https://www.traderjoes.com/home/products/category/sweet-stuff-26","Organic Double Chocolate Batard","$4.99","/11.8 Oz"
"https://www.traderjoes.com/home/products/pdp/country-style-ground-pork-sausage-083288","https://www.traderjoes.com/content/dam/trjo/products/m20801/83288.png/jcr:content/renditions/cq5dam.web.1280.1280","Beef, Pork & Lamb","https://www.traderjoes.com/home/products/category/beef-pork-lamb-125","Country Style Ground Pork Sausage","$5.49","/1 Lb"
"https://www.traderjoes.com/home/products/pdp/wild-alaskan-black-cod-sablefish-with-miso-marinade-082054","https://www.traderjoes.com/content/dam/trjo/products/m20602/82054.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Sides","https://www.traderjoes.com/home/products/category/entrees-sides-101","Wild Alaskan Black Cod Sablefish with Miso Marinade","$9.99","/10 Oz"
"https://www.traderjoes.com/home/products/pdp/english-muffin-breakfast-sandwich-082739","https://www.traderjoes.com/content/dam/trjo/products/m20602/82739.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Sides","https://www.traderjoes.com/home/products/category/entrees-sides-101","English Muffin Breakfast Sandwich","$4.99","/10.5 Oz"
"https://www.traderjoes.com/home/products/pdp/shredded-swiss-cheese-gruyere-cheese-093847","https://www.traderjoes.com/content/dam/trjo/products/m20201/93847.png/jcr:content/renditions/cq5dam.web.1280.1280","Slices, Shreds, Crumbles","https://www.traderjoes.com/home/products/category/slices-shreds-crumbles-32","Shredded Swiss Cheese & Gruyère Cheese","$4.99","/12 Oz"
"https://www.traderjoes.com/home/products/pdp/fontina-013006","https://www.traderjoes.com/content/dam/trjo/products/m20203/13006.png/jcr:content/renditions/cq5dam.web.1280.1280","Wedges, Wheels, Loaves, Logs","https://www.traderjoes.com/home/products/category/wedges-wheels-loaves-logs-38","Fontina","$6.99","/1 Lb"
"https://www.traderjoes.com/home/products/pdp/2-affogatos-vanilla-non-dairy-frozen-desserts-081171","https://www.traderjoes.com/content/dam/trjo/products/m20604/81171.png/jcr:content/renditions/cq5dam.web.1280.1280","Cool Desserts","https://www.traderjoes.com/home/products/category/cool-desserts-107","2 Affogatos Vanilla Non-Dairy Frozen Desserts","$4.49","/6.42 Fl Oz"
"https://www.traderjoes.com/home/products/pdp/silver-birch-farms-traditional-carnitas-077697","https://www.traderjoes.com/content/dam/trjo/products/m20801/77697.png/jcr:content/renditions/cq5dam.web.1280.1280","Beef, Pork & Lamb","https://www.traderjoes.com/home/products/category/beef-pork-lamb-125","Silver Birch Farms Traditional Carnitas","$6.49","/12 Oz"
"https://www.traderjoes.com/home/products/pdp/diced-uncured-pancetta-080873","https://www.traderjoes.com/content/dam/trjo/products/m20801/80873.png/jcr:content/renditions/cq5dam.web.1280.1280","Beef, Pork & Lamb","https://www.traderjoes.com/home/products/category/beef-pork-lamb-125","Diced Uncured Pancetta","$3.99","/4 Oz"
"https://www.traderjoes.com/home/products/pdp/deli-duo-080875","https://www.traderjoes.com/content/dam/trjo/products/m20501/80875.png/jcr:content/renditions/cq5dam.web.1280.1280","Salads, Soups & Sides","https://www.traderjoes.com/home/products/category/salads-soups-sides-83","Deli Duo","$3.99","/6 Oz"
"https://www.traderjoes.com/home/products/pdp/buffalo-style-chicken-meatballs-083229","https://www.traderjoes.com/content/dam/trjo/products/m20802/83229.png/jcr:content/renditions/cq5dam.web.1280.1280","Chicken & Turkey","https://www.traderjoes.com/home/products/category/chicken-turkey-128","Buffalo Style Chicken Meatballs","$4.29","/12 Oz"
"https://www.traderjoes.com/home/products/pdp/freeze-dried-strawberry-pieces-082025","https://www.traderjoes.com/content/dam/trjo/products/m21002/82025.png/jcr:content/renditions/cq5dam.web.1280.1280","Candies & Cookies","https://www.traderjoes.com/home/products/category/candies-cookies-173","Freeze Dried Strawberry Pieces","$4.99","/7 Oz"
"https://www.traderjoes.com/home/products/pdp/chicken-cheddar-cheese-sandwich-083512","https://www.traderjoes.com/content/dam/trjo/products/m20502/83512.png/jcr:content/renditions/cq5dam.web.1280.1280","Wraps, Burritos & Sandwiches","https://www.traderjoes.com/home/products/category/wraps-burritos-sandwiches-86","Chicken & Cheddar Cheese Sandwich","$5.49","/8.5 Oz"
"https://www.traderjoes.com/home/products/pdp/sugar-cookie-dough-082736","https://www.traderjoes.com/content/dam/trjo/products/m20504/82736.png/jcr:content/renditions/cq5dam.web.1280.1280","Dessert & Sweets","https://www.traderjoes.com/home/products/category/dessert-sweets-92","Sugar Cookie Dough","$3.99","/10.8 Oz"
"https://www.traderjoes.com/home/products/pdp/sliced-mortadella-082010","https://www.traderjoes.com/content/dam/trjo/products/m20801/82010.png/jcr:content/renditions/cq5dam.web.1280.1280","Beef, Pork & Lamb","https://www.traderjoes.com/home/products/category/beef-pork-lamb-125","Sliced Mortadella","$3.49","/5.5 Oz"
"https://www.traderjoes.com/home/products/pdp/chocolate-chip-cookie-dough-perfect-mini-bars-083481","https://www.traderjoes.com/content/dam/trjo/products/m21004/83481.png/jcr:content/renditions/cq5dam.web.1280.1280","Bars, Jerky &… Surprises","https://www.traderjoes.com/home/products/category/bars-jerky-surprises-179","Chocolate Chip Cookie Dough Perfect Mini Bars®","$7.49","/7.6 Oz"
"https://www.traderjoes.com/home/products/pdp/italian-tomato-pasta-sauce-trio-081710","https://www.traderjoes.com/content/dam/trjo/products/m20402/81710.png/jcr:content/renditions/cq5dam.web.1280.1280","BBQ, Pasta, Simmer","https://www.traderjoes.com/home/products/category/bbq-pasta-simmer-65","Italian Tomato Pasta Sauce Trio","$9.99","/30.69 Oz"
"https://www.traderjoes.com/home/products/pdp/medjool-dates-055555","https://www.traderjoes.com/content/dam/trjo/products/m21003/55555.png/jcr:content/renditions/cq5dam.web.1280.1280","Nuts, Dried Fruits, Seeds","https://www.traderjoes.com/home/products/category/nuts-dried-fruits-seeds-176","Medjool Dates","$4.99","/16 Oz"
"https://www.traderjoes.com/home/products/pdp/gold-potatoes-5-lb-070120","https://www.traderjoes.com/content/dam/trjo/products/m20702/70120.png/jcr:content/renditions/cq5dam.web.1280.1280","Veggies","https://www.traderjoes.com/home/products/category/veggies-119","Gold Potatoes 5 lb","$4.99","/5 Lb"
