"dealership_name","type","rating","rating_count","time_open","dealer_info","top_comments","uDyWh 2"
"Sac City Motors","· Used car dealer","4.5","(246)","· Closes 6 PM","5680 Franklin Blvd · (916) 346-4722","""Great price, clean , honest team, zero pressure.""","car"
"R & A Auto Sales","· Used car dealer","4.7","(53)","· Closes 6 PM","3413 Fulton Ave · (916) 514-8588",""" a  from them at a great price.""","Bought"
"California Auto Deals","· Used car dealer","4.4","(75)","· Closes 6:30 PM","6400 Martin Luther King Jr Blvd Suite #A · (916) 996-2411","""Variety of used  at wide range of prices.""","cars"
"Car Expo Auto Center","· Used car dealer","4.0","(409)","· Closes 7 PM","2211 Fulton Ave Suite A · (916) 333-2757","""Great customer service, lots of  to choose from, and they work fast!""","vehicles"
"Grand Touring Auto Sales","· Used car dealer","4.8","(69)","· Closes 8 PM","721 N B St STE#20 · (916) 667-5992","""The  was fully detailed with no issues for a great price!""","car"
"Elite Motors","· Used car dealer","3.8","(87)","· Closes 6 PM","5000 Madison Ave · (916) 573-5000","""Fastest  process as well considering the distance.""","car buying"
"Sama Sacramento Auto Sales","· Used car dealer","4.5","(23)","· Closes 7 PM","Citrus Heights, CA · (916) 541-3305","""Super easy and straight forward  process.""","car buying"
"Affordable Car Sales","· Used car dealer","5.0","(2)","· Closes 6 PM","721 N B St Suite C · (916) 884-6927","""He was very knowledgeable and has great  at amazing prices!""","cars"
"Capital 5 Auto Sales Inc","· Used car dealer","4.4","(156)","· Closes 7 PM","1650 Silica Ave #1 · (916) 550-0136","""Went above & beyond to make our  experience easy.""","car buying"
"J & R AUTOS SALES","· Used car dealer","4.9","(15)","· Closes 9 PM","320 N 10th St #201 · (707) 504-3112","""When to look at some used ""","cars"
"Sacramento Luxury Motors","· Used car dealer","3.7","(396)","· Closes 7 PM","Rancho Cordova, CA · (916) 999-7777","""Great selection of  and super friendly staff!""","vehicles"
"Exclusive Motors","· Car repair and maintenance service","4.5","(444)","· Closes 7 PM","10+ years in business · 2499 Arden Wy · (916) 624-4700","""Very friendly, informative and found an awesome  for a good price.""","car"
"SAC AUTO GROUP","· Car dealer","4.9","(557)","· Closes 7 PM","301 El Camino Ave · (916) 898-2561","""Highly recommend if you're looking for a stress-free  experience!""","car buying"
"Mirage Auto Sales","· Used car dealer","4.1","(44)","2305 Fulton Ave Suite B · (916) 979-9474","· Closes 7 PM","""We had a great experience""",""
"Urban Motors","· Used car dealer","4.4","(78)","· Closes 7 PM","3810 Florin Rd #101 · (916) 822-4455","""The process of  a  has never been easier.""","buying"
"Superior Motors","· Used car dealer","4.7","(123)","","5650 Auburn Blvd Suite C · (916) 803-0377","""Arsen made our  process as easy as possible.""","car buying"
"Future Ford of Sacramento","· Used car dealer","4.6","(5.7K)","· Closes 8 PM","4625 Madison Ave · (916) 265-0831","""Ryan went above and beyond to secure the  I wanted at the right price!""","car"
"Carshow Motors","· Used car dealer","4.9","(85)","· Closes 6 PM","4555 Auburn Blvd Suite G · (916) 999-5999",""" Show Motors is amazing when  used  at a great price.""","Car"
"Atlantic Auto Sales","· Used car dealer","4.3","(136)","· Closes 6:30 PM","1800 Fulton Ave · (916) 461-1800","""... independent dealer with great selection of high quality !""","cars"
"R N Auto Sales","· Used car dealer","4.2","(149)","· Closes 6 PM","7900 E Stockton Blvd · (916) 868-9422","""The  I got runs amazing and is super clean, priced very reasonable.""","car"
"Lots of Cars","· Used car dealer","4.6","(175)","· 5 PM","721 N B St # 4 · (916) 905-4059","""Really good selection of , at very good prices.""","vehicles"
"Car Spot Auto Sales","· Used car dealer","4.1","(53)","· Closes 6:30 PM","8394 Elder Creek Rd · (916) 917-2344","""I love my , great customer service.I recommend this plce great prices""","car"
"Action Auto Sales","· Used car dealer","4.0","(41)","· Closes 8 PM","3140 Fulton Ave · (916) 665-4923","""They offer quality .""","vehicles"
"Good cars good people","· Car dealer","5.0","(15)","· Closes 7 PM","5650 Auburn Blvd B · (916) 940-7393","""So far, the  has been reliable and runs smoothly, and the price was fair.""","car"
"Auto Finance of Sacramento","· Used car dealer","4.6","(185)","· 5 PM","3333 Fulton Ave · (916) 485-4063","""Margarita made the whole process of  a  quick and easy.""","buying"
"Mercedes-Benz of Sacramento","· Used car dealer","4.2","(2.4K)","· Closes 8 PM","1810 Howe Ave · (916) 924-8000","""great customer service left with a great deal on a perfect  for me.""","car"
"Right Cars","· Used car dealer","4.0","(65)","· Closes 7 PM","2244 Arden Wy · (916) 545-1111","""Nice selection, very fair price and painless  experience.""","buying"
"Galaxy Auto Deals Inc","· Used car dealer","4.6","(44)","· Closes 6 PM","6419 Franklin Blvd suite c · (916) 957-8331","""I  a 2015 Nissan Sentra with low mileage and was highly satisfied.""","bought"
"Z Auto","· Used car dealer","4.3","(98)","· Closes 7 PM","2233 Fulton Ave · (916) 913-1997","""Their price point is fair and they select  in great condition.""","cars"
"Quality Pre-Owned Vehicles","· Used car dealer","4.2","(38)","· Closes 7 PM","Roseville, CA · (916) 448-8000","""Great used quality  with honest people.""","cars"
"Supreme Auto","· Used car dealer","4.6","(54)","· Closes 6 PM","Fair Oaks, CA · (916) 695-3086","""A well managed and friendly choice for your truck and  experience.""","car buying"
"NFY Auto Sales","· Used car dealer","4.2","(52)","· Closes 6 PM","3333 Fulton Ave A · (916) 333-3555","""They made  simply and easy.""","car buying"
"A1 Carz Inc","· Used car dealer","4.2","(93)","· Closes 7 PM","3812 Florin Rd #101 · (916) 891-6006","""Thanks for making my  experience a really awesome one.""","car purchase"
"Car Nation Auto Sales","· Used car dealer","4.1","(47)","1512 El Camino Ave a · (916) 619-0516","· Closes 6 PM","""Such kind owners and an awesome  :) Made  super easy.""","car"
"Carvana Chrysler Dodge Jeep RAM of Sacramento","· Used car dealer","3.8","(1.9K)","· Opens 7 AM Mon","3610 Fulton Ave · (916) 232-5826","""They have a large selection of quality  at affordable prices!""","vehicles"
"Cars To Go","· Used car dealer","4.2","(134)","· Opens 11 AM Sun","2400 Fulton Ave · (916) 488-1200","""These guys are honest,  are clean, fast service and down to earth.""","cars"
"Salem Auto Sales","· Used car dealer","3.6","(60)","· Closes 6 PM","2529 El Camino Ave ste 105 · (916) 482-8445","""We got a beautiful chevy traverse and the sales man was amazing!!""",""
"Success Auto Sales And Service","· Used car dealer","5.0","(10)","· Closes 7 PM","Citrus Heights, CA · (916) 926-0894","""Found the perfect  and  process was smooth and easy.""","car"
"KAS Auto Sales","· Used car dealer","4.1","(78)","· Closes 7 PM","1504 Silica Ave Suite B · (916) 514-3044","""Just purchased a very nice low mileage vehicle.""",""
"Epic Chevrolet","· Used car dealer","4.4","(2.5K)","· Closes 8 PM","2449 Fulton Ave · (916) 929-2777","""Edgar really gave me a great experience when  my dream .""","buying"
"S&R Auto Sales","· Used car dealer","4.2","(76)","· 5 PM","3215 Fulton Ave · (916) 633-4440","""She was phenomenal and the Experience of  a  was easy and simple.""","buying"
"Sac Kings Motors","· Used car dealer","4.5","(78)","· Closes 7 PM","2791 Fruitridge Rd B · (916) 706-0681","""Adam went above and beyond on helping us get the  we wanted .""","car"
"Sacramento Auto Deals","· Car dealer","5.0","(3)","· Closes 6 PM","885 El Camino Ave Ste B · (916) 420-5153","""Had great experience nice care no problems at all very nice dodge""",""
"Direct Auto Outlet, LLC","· Used car dealer","4.1","(78)","· Closes 7 PM","Fair Oaks, CA · (916) 765-7575","""I got a great  at a fair price.""","car"
"CARGWIN LLC","· Used car dealer","4.6","(84)","· Closes 6 PM","4555 Auburn Blvd # E · (279) 208-5707","""They were helpful to choose the right  in decent price and condition.""","car"
"Sac Select Auto","· Car dealer","4.4","(49)","· 5:30 PM","4555 Auburn Blvd # A · (916) 995-9591","""Very fair price and took my  in on trade for a fair price.""","car"
"SellMax Cash For Cars","· Auto broker","4.0","(9)","· Closes 7 PM","3+ years in business · 801 Alhambra Blvd Suite 1D · (916) 507-0002","""If you’re looking for a place to get a quote quick, this is the one!""",""
"Emek auto sales","· Used car dealer","4.5","(17)","· Closes 7 PM","1925 El Camino Ave · (916) 825-5394","""The owners are great will work with any credit""",""
"Daily Driven Auto Sales","· Used car dealer","5.0","(20)","· Closes 9 PM","320 N 10th St Suite 207 · (916) 993-0786","""From selecting the  to financing to pick up it was super easy.""","car"
"J&M Auto Land","· Used car dealer","4.6","(23)","","320 N 10th St Suite 212 · (916) 249-0924","""Great pricing, honest, trustworthy and I got a great deal.""",""
"101 Auto Sales","· Used car dealer","4.4","(47)","· 5 PM","1825 Fulton Ave building 1827 · (916) 952-3187","""Highly recommend 101 Auto to anyone who wants a great deal.""",""
"Worldwide Auto Sales","· Used car dealer","4.1","(81)","· 5:30 PM","3925 Power Inn Rd suite e · (916) 634-5508","""They provide an unbeatable price and friendly customer service.""",""
"Downtown Ford Sacramento","· Used car dealer","4.5","(2.3K)","· Closes 7 PM","1535 Howe Ave · (916) 779-5000","""He made the whole  process super easy and stress-free.""","car-buying"
"Choice Auto N' Truck","· Used car dealer","3.4","(189)","2237 Fulton Ave · (916) 993-6110","· Closes 6:30 PM","""Great price, beautiful vehicle, in and out quickly.""",""
"Capital Auto Source","· Car dealer","4.8","(22)","· Closes 6 PM","3803 Florin Rd Suite A · (916) 628-3290","""Best deal with very honest staff.""",""
"Carland Auto Sales","· Used car dealer","4.2","(59)","· Closes 6:30 PM","3801 Florin Rd · (916) 330-1899",""" a  from Carland Auto Sales was fast and easy.""","Buying"
"The Car Lot LLC","· Car dealer","4.9","(174)","· Opens 9 AM Mon","Rancho Cordova, CA · (916) 586-5600","""Wonderful customer service, great affordable  and quick and reliable.""","cars"
"Alpha Auto SAC","· Car dealer","4.5","(43)","· Closes 6 PM","4020 Marysville Blvd · (916) 440-3838","""The Chevy Malibu I  is in excellent condition and drives like a dream.""","bought"
"Premium Auto Sales","· Used car dealer","4.4","(122)","· Closes 6 PM","Roseville, CA · (916) 891-8856",""" a  today with my son, Noman was very helpful and reasonable""","Bought"
"Showcase Auto Group","· Used car dealer","4.5","(33)","· Closes 6:30 PM","3805 Florin Rd ste #1100 · (916) 494-8789","""Max, is a straight shooter and offers good  at fair prices.""","cars"
"Sacramento County Sell Cars For Cash","· Auto broker","5.0","(103)","","3+ years in business · (916) 894-8445","""They gave me the exact amount and paid me while they got the .""","car"
"CarMax","·  · Used car dealer","4.2","(3.4K)","$$","Roseville, CA · (916) 782-2404","""Selling my  was super easy and fast as Carmax does all the work!""","car"
"We buy rvs and classic cars 24 hours","· Car dealer","5.0","(11)","","(602) 860-0070","""I would recommend if you are in need of getting rid of an unwanted vehicle.""",""
"Auto Outlet","· Used car dealer","3.3","(35)","· Closes 6 PM","3805 Florin Rd #1013 · (916) 665-0919","""I  a 2017 Mitsubishi Mirage from them at a reasonable price.""","bought"
"Jala Auto Sales","· Used car dealer","4.6","(209)","· Opens 10 AM Mon","2797 Fulton Ave Suite · (916) 231-3684","""Easiest smoothest experience I’ve ever had purchasing a vehicle.""",""
"Good Cars Auto Sale","· Used car dealer","4.8","(37)","· 5 PM","West Sacramento, CA · (916) 957-7493","""Very nice place and really good  for sale for good prices.""","cars"
"Niello BMW Sacramento","· Used car dealer","4.5","(2.2K)","· Closes 6 PM","2020 Fulton Ave · (916) 246-6890","""Easiest and most pleasant  experience I’ve ever had!""","car buying"
"Amazing Choice Auto","· Car dealer","4.3","(25)","· Closes 6:30 PM","3329 Fulton Ave · (916) 236-9222","""Great dealership,  has all kind of different  and amazing prices!""","cars"
"Moon Auto Sales","· Used car dealer","4.1","(52)","· 5 PM","2529 Connie Dr #4 · (916) 929-3000","""I got a great  in a very good price.""","car"
"Road Trip Auto SAles LLC","· Used car dealer","5.0","(24)","· Closes 6 PM","West Sacramento, CA · (916) 664-0498","""I drove off with a clean, reliable  at a great price.""","car"
"Lexus of Sacramento","· Used car dealer","4.7","(3.1K)","· Closes 6 PM","2600 Fulton Ave · (916) 465-6330","""The process was quick, easy, and I have a beautiful new used !""","car"
"OTF MOTORS","· Used car dealer","4.9","(220)","· Closes 6 PM","West Sacramento, CA · (916) 513-0845","""Knowledgeable on his  and made the  process flawless.""","cars"
"Deluxe Motors Sac","· Used car dealer","4.2","(47)","· Closes 6 PM","1450 Sproule Ave · (916) 842-4777","""Great  and great prices.""","cars"
"The Auto Barn","· Used car dealer","5.0","(25)","2029 Marconi Ave · (916) 516-0699","· Opens 10 AM Mon","""Good , fair prices, very helpful.""","cars"
"SAC AUTO SOLUTIONS INC.","· Used car dealer","4.4","(15)","· Closes 7 PM","8184 Alpine Ave C · (916) 313-0686","""Honest staff didn’t try to upsell me on anything.""",""
"Cityzone Motors","· Car dealer","4.0","(46)","· Closes 6 PM","885 El Camino Ave suite · (916) 476-7672","""they made the  experience smooth and stress-free.""","car-buying"
"Regency Auto Sales","· Used car dealer","4.2","(17)","· Closes 7 PM","1010 El Camino Ave Bj · (916) 922-1011","""The  we  is in really nice condition.""","car"
"K & B Auto","· Car dealer","4.0","(112)","· Closes 7 PM","1958 El Camino Ave · (916) 541-2316","""Kareem made the whole  process quick and painless.""","car buying"
"Car Cage Motors","· Used car dealer","4.2","(108)","· Opens 10 AM Mon","6401 Stockton Blvd · (916) 451-2277","""Easily one of the best  experience as we have ever had.""","car buying"
"Exceptional Motors","· Car dealer","4.0","(24)","· Closes 6 PM","885 El Camino Ave · (916) 665-4506","""Sold me a pretty reliable  for a good price.""","car"
"Hertz Car Sales Roseville","·  · Used car dealer","4.4","(392)","$$","Roseville, CA · (916) 727-6978","",""
"City Star Motors","· Used car dealer","4.4","(13)","· Closes 6 PM","721 N B St STE #1 · (916) 514-3621","""Owner is Very honest and responsible person reliable  with good price.""","cars"
"Champions Auto Sales","· Used car dealer","4.4","(82)","· 5 PM","4733 Raley Blvd suite B · (916) 514-9984","""There  are in very good condition and the deals are amazing.""","cars"
"Easy Rider Auto Deals","· Used car dealer","3.7","(6)","· Closes 7 PM","721 N B St · (737) 333-2041","",""
"Zen Auto Sales","· Used car dealer","4.6","(48)","· Opens 9 AM Mon","5613 Elvas Ave STE A · (916) 665-4850","""Amir is really adept at making the  process actually pleasant!""","car buying"
"LEFT COAST AUTO SALES LLC","· Used car dealer","4.9","(13)","· 5 PM","721 N B St Suite 37 · (916) 317-3849","""Sold me a great  for a good price.""","car"
"Amiry Auto Sales","· Used car dealer","4.6","(33)","· 5 PM","7606 Folsom Blvd STE 107 · (916) 676-6681","""They offer good-quality  at fair and affordable prices.""","vehicles"
"Folsom Lake Toyota","· Toyota dealer","4.6","(8.9K)","· Closes 9 PM","Folsom, CA · (916) 355-1500","""He worked with us for HOURS to find a  that fit our needs and our budget.""","car"
"Cash For Cars Sacramento","· Auto broker","3.1","(8)","· Closes 7 PM","7+ years in business · (916) 668-5558","",""
"Discount Auto Sales","· Used car dealer","2.9","(7)","· 5 PM","2141 Grand Ave · (916) 925-7974","""Very friendly and great prices!!""",""
"PLATNUM MOTORS","· Used car dealer","3.9","(41)","· 5 PM","1135 Richards Blvd · (916) 292-9711","""I purchased a vehicle from these guys, the  runs like a new.""","car"
"LIMA TOP CARS","· Used car dealer","3.8","(133)","· Opens 9 AM Mon","2411 Harvard St · (916) 519-4525","""Good customer service fast and easy great prices and nice ""","cars"
"Prestige Motors","· Used car dealer","4.5","(38)","· Opens 10 AM Sun","2425 Arden Wy · (916) 409-6800","""They have really nice  that are priced great.""","cars"
"AMJ Motors","· Used car dealer","4.7","(29)","7606 Folsom Blvd ste 105","","""It was easy to find and the Honda Accord was the best price in town.""",""
"Cash For Cars - Sacramento","· Auto wrecker","4.6","(263)","· Opens 7 AM Mon","40+ years in business · 8600 Morrison Creek Dr Ste B · (916) 229-9661","""Erick helped me sort out selling my  and got me a great price.""","car"
"Trade Auto Sales","· Used car dealer","4.6","(11)","· 5 PM","8018 Clifton Rd · (415) 350-2177","""The process of getting a  took less than two hours.""","car"
"Sactown Cash For Cars","· Auto broker","4.4","(8)","· 5 PM","5+ years in business · 8116 Junipero St · (866) 327-5865","""they did exactly what they said👏""",""
"M&A Auto Sales","· Car dealer","5.0","(35)","· 5:30 PM","2204 Oakmont St · (916) 891-5680","""The  was clean, well-priced, and exactly what I was looking for.""","car"
"River City Auto Sales, Inc","· Used car dealer","3.8","(50)","· Closes 6 PM","West Sacramento, CA · (916) 873-8093","""We got the  we wanted in a smooth and fast process.""","car"
"AutoNation Honda Roseville","· Used car dealer","4.6","(8.3K)","· Closes 8 PM","Roseville, CA · (916) 467-8056","""Looking for great prices, a great team and amazing  selection?""","car"
"Metric Motors","· Used car dealer","4.1","(32)","· Closes 6 PM","431 Arden Wy · (916) 924-3200","""We got a Volvo, it’s in great condition, runs great!""",""
"Quality Motors Used Cars","· Used car dealer","4.3","(12)","· 5 PM","3956 Franklin Blvd · (916) 457-5717","""Changed review because he fixed problem""",""
"Autoamore","· Car dealer","4.0","(193)","· 5 PM","4401 Power Inn Rd · (916) 672-8862","""I purchased a 2016 Toyota Camry with them and had a great experience.""",""
"Rismo Auto Sales","· Used car dealer","5.0","(29)","· 5 PM","320 N 10th St STE 110 · (916) 776-3949","""Got a good quality  friendly no pushy salesman type great atmosphere""","car"
"Niello Volvo Cars Sacramento","· Used car dealer","4.7","(1.1K)","· Closes 6 PM","4609 Madison Ave · (916) 471-4385","""I got the  I wanted at a great price in a very smooth transaction.""","car"
"Auto Deals LLC","· Used car dealer","4.3","(18)","· 5 PM","721 N B St Ste 44 · (916) 839-0199","""Would def recommend if you’re looking for a .""","car"
"Sacramento Auto Sales Center Inc","· Used car dealer","3.7","(34)","· Closes 7 PM","West Sacramento, CA · (916) 596-8160","""We got a good deal.""",""
"A to B Cars","· Motor vehicle dealer","4.8","(17)","","6805-A Luther Dr · (916) 400-4986","""Great financing options.""",""
"Cash For Cars - South Sacramento","· Auto wrecker","4.7","(87)","· Opens 7 AM Mon","40+ years in business · 8687 Weyand Ave Ste B · (916) 696-3784","""Fast and fair prices without the hassle of trying to sell your !""","car"
"Specialty Motorsports","· Motorsports store","4.3","(351)","· Closes 6 PM","721 N B St · (916) 441-1418","""Wide selection of inventory, crew that’s willing to work with you.""",""
"Auto-Tech car dealer","· Used car dealer","4.6","(53)","· 5 PM","West Sacramento, CA · (916) 375-1559","""They were super nice and friendly and the  they sell were good quality""","cars"
"SACRAMENTO EUROPEAN","· Used car dealer","4.3","(47)","· Opens 10 AM Mon","2216 Sutterville Rd · (916) 486-2222","",""
"SortUsACar","· Used car dealer","5.0","(1)","· Closes 6 PM","1106 N D St #9 · (916) 717-0010","",""
"Capital Motors","· Used car dealer","1.0","(2)","721 N B St · (916) 794-3829","· Closes 8 PM","",""
"Pre-owned auto sales","· Auto broker","4.2","(5)","· Opens 9 AM Tue","5+ years in business · 3747 W Pacific Ave","",""
"Real Ride Auto Sales LLC","· Car dealer","4.7","(35)","· Opens 10 AM Sun","721 N B St unit#31 Flr 2 · (916) 695-6478","""The prices are very fair, and the quality of the  is outstanding.""","cars"
"Lugo Auto Group","· Used car dealer","3.3","(55)","· Closes 8 PM","2240 Northgate Blvd · (916) 550-1245","""my daughter loves her first  thanks to these guys""","car"
"LKC Auto Sales","· Used car dealer","4.2","(32)","· Opens 11 AM Mon","2309 Lexington St D · (916) 862-6808","""Best experience we ever had  a used 2014 Hyundai sonata!""","buying"
"Saferideautosale LLC","· Used car dealer","4.7","(39)","· Opens 9 AM Mon","721 N B St unit 42 · (916) 713-9091","""Professional Staff, friendly , Great Price and Best Quality  .""","Cars"
"Cars 2000 Service Center & Auto Sales","· Auto repair shop","4.7","(93)","· Opens 8 AM Mon","40+ years in business · 5960 14th Ave · (916) 452-1886","""The  I purchased was in excellent condition and fairly priced.""","car"
"Elite Auto","· Car dealer","5.0","(3)","· Closes 6 PM","721 N B St · (916) 690-5734","",""
"Sacramento Used Cars","· Car dealer","","","No reviews","7942 14th Ave · (279) 786-6894","",""
"Future Honda","· Used car dealer","4.6","(2.3K)","· Closes 8 PM","Citrus Heights, CA · (916) 546-1842","""They made the whole  process smooth and stress-free.""","car-buying"
"Regal Autos Inc","· Used car dealer","3.9","(12)","· Closes 6 PM","West Sacramento, CA · (916) 509-5550","",""
"Sacramento Auto Group LLC","· Used car dealer","5.0","(3)","· 5 PM","6050 Elder Creek Rd suite 3 · (916) 640-7646","""They also have good quality  at a good price.""","cars"
"Agent Auto","· Used car dealer","4.3","(14)","· 5 PM","West Sacramento, CA · (916) 769-1437","",""
"Ford Pro Commercial Center","· Used car dealer","4.5","(2.1K)","· Opens 7 AM Mon","525 N 16th St · (916) 779-5000","""Liliana and Nick made the  experience easy and efficient.""","car buying"
"Vans From Japan","· Used car dealer","4.8","(35)","","320 N 10th St Suite 202 · (916) 538-7500","""I  a Delica from Vans From Japan and they were easy to work with.""","bought"
"The Niello Company","· Car dealer","3.6","(26)","· Opens 8 AM Mon","1481 River Park Dr · (916) 643-7300","""Decent for a  dealership.""","car"
"SMG AUTO STAR CERTIFIED SMOG CHECK, BRAKE and LIGHT INSPECTION (NO PASS NO","· Smog inspection station","3.9","(481)","· Closes 6 PM","35+ years in business · 4190 24th St · (916) 452-5387","""Their prices are great&i refuse to take my vehicle anywhere else!!""",""
"JDM Motors Sacramento","· Auto parts store","4.4","(14)","· Opens 9 AM Mon","West Sacramento, CA · (916) 559-5135","""They have good engines with affordable prices.""",""
"Happy Daze RV - Sacramento","· RV dealer","3.7","(339)","· Closes 6 PM","1199 E El Camino Ave · (916) 921-2222","""They sold me an extended warranty from Portfolio.""",""
"JDM TOKYO MOTORSPORTS","· Used auto parts store","4.2","(261)","· Opens 8:30 AM Mon","West Sacramento, CA · (916) 917-5588",""" 2014 Subaru WRX , very clean , great customer Service.""","Bought"
"Stage Nine Entertainment & G.Willikers Toy Emporium","· Collectibles store","4.5","(117)","102 K St · (916) 447-3623","· Closes 9 PM","""Very large and passes through the middle.""",""
"Oxford Motors","· Car dealer","5.0","(1)","","1818 11th St FL 2 · (916) 642-3050","""I would recommend him to anyone I know!""",""
"Metaverse Motors LLC","· Used car dealer","5.0","(8)","· Opens 10 AM Mon","1540 S River Rd · (916) 281-6490","""Love it highly recommended""",""
"Approved Auto Center","· Used car dealer","4.2","(274)","· Closes 7 PM","6222 Holman Rd · (209) 334-1100","""He got me the perfect deal on exactly the vehicle I wanted.""",""
"Del Paso Auto Dismantlers","· Salvage yard","3.7","(96)","· Opens 9 AM Mon","1101 Del Paso Blvd · (916) 260-7340","""I sold my old  here and their offer was better than anywhere else.""","car"
"Sacramento Specialty Automotive","· Auto repair shop","4.7","(609)","· Opens 7:30 AM Mon","20+ years in business · 600 Sunbeam Ave suite 1-2 · (916) 442-6409","""Friendly, fast and more affordable than the dealer.""",""
"Camping World - Roseville","· RV dealer","4.5","(1.5K)","· Closes 6 PM","1039 Orlando Ave · (888) 306-5486","""This was the smoothest  transaction I’ve ever experienced.""","purchase"
"Carmax sublot","· Car dealer","4.5","(8)","· Opens 7:30 AM Mon","1000 Nichols Dr · (916) 782-2404","""Easy to pick up  for transport""","cars"
