"content-center href","rounded-2xl src","inline","flex","text-xs","text-xs 2","line-clamp-1","styles_tooltip-text__bYBqF","line-clamp-1 2","styles_tooltip-text__bYBqF 2","mr-2","mr-2 href","whitespace-nowrap","pl-1","pl-1 2","pl-1 3","text-xs 3","line-clamp-1 3","inline-flex","mr-2 2","mr-2 href 2","whitespace-nowrap 2","pl-1 4","text-xs 5","mr-2 3","mr-2 href 3","whitespace-nowrap 3","pl-1 5","pl-1 6","text-xs 7"
"https://wellfound.com/company/kepler","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/10669455-2a9204608e367d4e8dfc576993e59706-medium_jpg.jpg?buster=1768765952","Kepler","Actively Hiring","The ground truth platform for AI","1-10 Employees","Top 10% of responders","Kepler is in the top 10% of companies in terms of response time to applications","Responds within a few days","Based on past data, Kepler usually responds to incoming applications within a few days","Data Engineer","https://wellfound.com/jobs/3911948-data-engineer","Full-time","$150k – $200k","In office • New York City","$250k – $320k","1 week ago","","","Data Platform Engineer","https://wellfound.com/jobs/3775433-data-platform-engineer","Full-time","In office • New York City","1 month ago","Software Engineer","https://wellfound.com/jobs/3775432-software-engineer","Full-time","$150k – $200k","In office • New York City","1 month ago"
"https://wellfound.com/company/splinktechnologies","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/10024011-b6c88fffd19902f2bbbdb447623d1f15-medium_jpg.jpg?buster=1709679215","Splink","Actively Hiring","Vertical software bringing the CPG supply chain into the 21st century","1-10 Employees","Top 10% of responders","Splink is in the top 10% of companies in terms of response time to applications","Responds within a week","Based on past data, Splink usually responds to incoming applications within a week","Senior Data Engineer","https://wellfound.com/jobs/3931830-senior-data-engineer","Full-time","$150k – $200k • 0.5% – 1.0%","Onsite or remote • New York City","5 years of exp","1 week ago","Recently funded","","Senior Full-Stack Engineer","https://wellfound.com/jobs/3901137-senior-full-stack-engineer","Full-time","$150k – $180k • 0.5% – 1.0%","2 weeks ago","","","","Onsite or remote • New York City","5 years of exp",""
"https://wellfound.com/company/stuut-1","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/9887955-98a0c6d25725d9b4919463ebd3fc0169-medium_jpg.jpg?buster=1761671644","Stuut","Actively Hiring","AI Co-Pilot for Accounts Receivable","11-50 Employees","Top 10% of responders","Stuut is in the top 10% of companies in terms of response time to applications","Responds within a few days","Based on past data, Stuut usually responds to incoming applications within a few days","Data Engineer","https://wellfound.com/jobs/3834594-data-engineer","Full-time","$135k – $190k • 0.01% – 0.2%","In office • New York City","3 years of exp","4 weeks ago","B2C","+1","AI Sales Engineer","https://wellfound.com/jobs/3533780-ai-sales-engineer","Full-time","$240k – $300k • 0.01% – 0.3%","1 month ago","Member of the Technical Staff — AI/ML","https://wellfound.com/jobs/3140021-member-of-the-technical-staff-ai-ml","Full-time","In office • New York City","4 years of exp","3 months ago"
"https://wellfound.com/company/kalderos","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/4052054-d59b00176f04c7425c4f75bd090b07f3-medium_jpg.jpg?buster=1649967757","Kalderos","Actively Hiring","Redefining how the business of healthcare performs","51-200 Employees","B2B","Expanding market presence","Growth Stage","","Data Engineer II","https://wellfound.com/jobs/3933921-data-engineer-ii","Full-time","$130k – $145k","Boston","$160k – $175k","1 week ago","","","Staff Infrastructure Engineer","https://wellfound.com/jobs/3828942-staff-infrastructure-engineer","Full-time","In office • Boston","1 month ago","","","","","",""
"https://wellfound.com/company/mercor","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/2900215-3c6118dbad37b35129ffa174db0c1319-medium_jpg.jpg?buster=1749973825","Mercor","Actively Hiring","Mercor is at the intersection of labor markets and AI research","201-500 Employees","Recently funded","Raised funding in the past six months","","","Software Engineer, Applied AI","https://wellfound.com/jobs/3827956-software-engineer-applied-ai","Full-time","$130k – $500k","San Francisco","$130k – $500k","1 month ago","","","Research Engineer","https://wellfound.com/jobs/3703536-research-engineer","Full-time","San Francisco","2 months ago","Data Engineer","https://wellfound.com/jobs/3542787-data-engineer","Full-time","$130k – $500k","San Francisco","3 months ago"
"https://wellfound.com/company/spreadsheet-broccoli","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/10854153-35f0db993c3b39574a71e28262c7fd68-medium_jpg.jpg?buster=1770497536","Spreadsheet Broccoli","Actively Hiring","Instant CSV & Excel tools that make business data exports import-ready","1-10 Employees","","","","","Data Engineer","https://wellfound.com/jobs/3831434-data-engineer","Full-time","$120k – $160k","In office • New York City","3 years of exp","1 month ago","","","","","","","","","","","","",""
"https://wellfound.com/company/10a-labs-1","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/10491615-6d51b4e655bc4eb0d71302716be7b6f2-medium_jpg.jpg?buster=1744437592","10a Labs","Actively Hiring","10a Labs is an applied research and technology company specializing in AI security","11-50 Employees","Growing fast","Showed strong hiring growth in the past month","","","Machine Learning Engineer","https://wellfound.com/jobs/3269775-machine-learning-engineer","Full-time","$170k – $250k","Remote only • United States","3 years of exp","4 weeks ago","","","Security Engineer","https://wellfound.com/jobs/3528264-security-engineer","Full-time","$105k – $125k","5 months ago","Data Engineer","https://wellfound.com/jobs/3496009-data-engineer","Full-time","New York City","$105k – $125k","5 months ago"
"https://wellfound.com/company/fractal-protocol-1","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/9329617-ad0b3e9c4ada3d44d2e86a4c9dcfaebe-medium_jpg.jpg?buster=1741275448","August","","Delivering institutional-grade infrastructure for digital assets trading on-chain","11-50 Employees","B2B","Startup in initial stages","Early Stage","","Data Engineer","https://wellfound.com/jobs/3302243-data-engineer","Full-time","$80k – $160k • 0.01% – 0.1%","Onsite or remote • New York City","2 years of exp","9 months ago","","","","","","","","","","","","",""
"https://wellfound.com/company/tabs-8","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/9495435-7d8a549f5eb997fd09c457a1de2cb33d-medium_jpg.jpg?buster=1682039727","Tabs","Actively Hiring","Tabs is building the intelligent commercial operations platform","11-50 Employees","Early Stage","Startup in initial stages","Growing fast","Showed strong hiring growth in the past month","Analyst, Contract Intelligence","https://wellfound.com/jobs/3968062-analyst-contract-intelligence","Full-time","$80k – $110k","New York","$200k – $250k","yesterday","","","Staff Software Engineer","https://wellfound.com/jobs/3833994-staff-software-engineer","Full-time","New York","4 weeks ago","Data Engineer","https://wellfound.com/jobs/3670533-data-engineer","Full-time","$140k – $195k","New York","2 months ago"
"https://wellfound.com/company/smartasset","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/85122-c742a92e24a483c4037d5ad2ec4070cb-medium_jpg.jpg?buster=1714626263","SmartAsset","","Financial modeling for personal finance","201-500 Employees","B2C","Rapidly increasing operations","Scale Stage","This company has received a significant amount of investment from top investors","Senior Data Engineer","https://wellfound.com/jobs/3770983-senior-data-engineer","Full-time","$135k – $200k","Remote • New York City","","1 month ago","Top Investors","+2","","","","","","","","","","",""
"https://wellfound.com/company/govstar","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/10654720-e65c59d08f8dbe649204a4c8f05c48b3-medium_jpg.jpg?buster=1755713496","GOVSTAR","Actively Hiring","Unlocking the future of government","11-50 Employees","","","","","Data Engineer (Remote)","https://wellfound.com/jobs/3885211-data-engineer-remote","Full-time","Remote only • United States","2 years of exp","Remote only • United States","2 weeks ago","","","Full Stack AI Engineer (Python)","https://wellfound.com/jobs/3402339-full-stack-ai-engineer-python","Full-time","8 years of exp","1 month ago","","","","","",""
"https://wellfound.com/company/enigma-data","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/129914-e5e14a96ac285e57f0e3e3ca7e1e9752-medium_jpg.jpg?buster=1589645734","Enigma Technologies","Actively Hiring","Enigma provides trusted business data built on unparalleled entity resolution","51-200 Employees","Responds within three weeks","Based on past data, Enigma Technologies usually responds to incoming applications within three weeks","B2B","Expanding market presence","Senior Product Software Engineer, Applied Technologies","https://wellfound.com/jobs/3930391-senior-product-software-engineer-applied-technologies","Full-time","$210k – $240k","Los Angeles","$160k – $210k","1 week ago","Growth Stage","+3","Senior Infrastructure Engineer","https://wellfound.com/jobs/3900683-senior-infrastructure-engineer","Full-time","New York City","2 weeks ago","Senior Data Engineer","https://wellfound.com/jobs/3528034-senior-data-engineer","Full-time","$160k – $210k","In office • Los Angeles","2 months ago"
"https://wellfound.com/company/endex-1","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/10802730-c438fcdb2ca37d34e73e86bcc0d1f780-medium_jpg.jpg?buster=1767041498","Endex","","Building Wall Street's AI Analyst (Backed By OpenAI)","11-50 Employees","","","","","Data Engineer","https://wellfound.com/jobs/3702965-data-engineer","Full-time","$135k – $215k","In office • New York City","0 years of exp","2 months ago","","","Backend Engineer","https://wellfound.com/jobs/3702963-backend-engineer","Full-time","$135k – $215k","2 months ago","","","","In office • New York City","0 years of exp",""
"https://wellfound.com/company/inflo-health","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/9784394-6fa6ac8e330d8ac6d76d00e2fd10e7ab-medium_jpg.jpg?buster=1718898184","Inflo Health","","Never miss a radiology follow-up","11-50 Employees","B2B","Startup in initial stages","Early Stage","","Data Engineer","https://wellfound.com/jobs/3722917-data-engineer","Full-time","$120k – $160k","Remote only • United States","1 year of exp","2 months ago","","","","","","","","","","","","",""
"https://wellfound.com/company/xealth","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/4720206-53b719dba25309207d915e87e46bf242-medium_jpg.jpg?buster=1542147507","Xealth","Actively Hiring","A prescription for digital health","51-200 Employees","Top 5% of responders","Xealth is in the top 5% of companies in terms of response time to applications","Responds within a few days","Based on past data, Xealth usually responds to incoming applications within a few days","Manual QA Engineer","https://wellfound.com/jobs/3823098-manual-qa-engineer","Full-time","$90k – $125k","Seattle","$155k – $225k","1 month ago","B2B","+1","Senior Data Engineer","https://wellfound.com/jobs/3647310-senior-data-engineer","Full-time","Seattle","3 months ago","Software Engineer, Clinical Data","https://wellfound.com/jobs/3530859-software-engineer-clinical-data","Full-time","$155k – $212k","Madison","4 months ago"
"https://wellfound.com/company/tendo-systems-1","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/8324067-890013c7a8cb22a96c3a46406017fa46-medium_jpg.jpg?buster=1646112724","Tendo","Actively Hiring","It’s time to reimagine what’s possible in healthcare","51-200 Employees","B2B","Rapidly increasing operations","Scale Stage","This company has received a significant amount of investment from top investors","Senior Software Engineer","https://wellfound.com/jobs/2950287-senior-software-engineer","Full-time","$111k – $150k","Salt Lake City","$157k – $213k","5 months ago","Top Investors","+1","Principal Data Engineer","https://wellfound.com/jobs/3405305-principal-data-engineer","Full-time","San Francisco","6 months ago","Senior Data Engineer","https://wellfound.com/jobs/3405304-senior-data-engineer","Full-time","$128k – $173k","San Francisco","6 months ago"
"https://wellfound.com/company/willow-innovations","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/8501180-d206bfbbfc7bd02fe00d489cc73c89eb-medium_jpg.jpg?buster=1631043459","Willow Innovations","Actively Hiring","We're on a mission to build solutions to mom's most meaningful problems","51-200 Employees","Top 10% of responders","Willow Innovations is in the top 10% of companies in terms of response time to applications","Responds within two weeks","Based on past data, Willow Innovations usually responds to incoming applications within two weeks","Senior Quality Engineer","https://wellfound.com/jobs/3903755-senior-quality-engineer","Full-time","$180k – $200k","Mountain View","$195k – $220k","2 weeks ago","B2C","+2","Lead Firmware Engineer (Medical Device & Connectivity)","https://wellfound.com/jobs/3835209-lead-firmware-engineer-medical-device-connectivity","Full-time","Mountain View","4 weeks ago","Senior Data Engineer","https://wellfound.com/jobs/1618673-senior-data-engineer","Full-time","$180k – $220k","Remote • United States","3 years ago"
"https://wellfound.com/company/january-tech","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/5589525-989b20592c221a2c1809071e12c3e426-medium_jpg.jpg?buster=1718598716","January","Actively Hiring","We're fixing what’s broken in consumer credit with our data-driven platform","51-200 Employees","B2B","Expanding market presence","Growth Stage","","Software Engineer","https://wellfound.com/jobs/3628014-software-engineer","Full-time","$160k – $190k","New York","$155k – $200k","3 months ago","","","Senior Security Engineer","https://wellfound.com/jobs/3544983-senior-security-engineer","Full-time","Remote • New York","3 months ago","Senior Data Engineer","https://wellfound.com/jobs/3533766-senior-data-engineer","Full-time","$170k – $190k","New York","4 months ago"
"https://wellfound.com/company/influur-1","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/8357970-4c89a9f474ead4d1c4c60ac31cd5fd25-medium_jpg.jpg?buster=1741725219","Influur","Actively Hiring","Influur is the first two-sided marketplace in the creator economy industry","51-200 Employees","B2B","Expanding market presence","Growth Stage","","AI Engineer","https://wellfound.com/jobs/3890200-ai-engineer","Full-time","$200k – $200k • 0.1% – 0.2%","Onsite or remote • San Francisco","2 years of exp","2 weeks ago","","","AI Data Engineer","https://wellfound.com/jobs/3705806-ai-data-engineer","Full-time","$200k – $200k","2 months ago","AI Data Engineer","https://wellfound.com/jobs/3705805-ai-data-engineer","Full-time","Remote • San Francisco","$200k – $200k","2 months ago"
"https://wellfound.com/company/possible-finance","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/6004589-688b554b5a4d23d6d3b9785842d0998d-medium_jpg.jpg?buster=1651590008","Possible Finance","Actively Hiring","With a great team; anything is Possible!","51-200 Employees","Responds within three weeks","Based on past data, Possible Finance usually responds to incoming applications within three weeks","B2C","Expanding market presence","Senior Data Engineer","https://wellfound.com/jobs/3798205-senior-data-engineer","Full-time","$165k – $185k","Seattle","","1 month ago","Growth Stage","+1","","","","","","","","","","",""
"https://wellfound.com/company/videris","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/10880691-2d8dd6139724ade0c6add1cc2b98e2cf-medium_jpg.jpg?buster=1772139563","VIDERIS","Actively Hiring","Engineering data into a unified, high-performance enterprise asset","11-50 Employees","Top 5% of responders","VIDERIS is in the top 5% of companies in terms of response time to applications","Responds within a few days","Based on past data, VIDERIS usually responds to incoming applications within a few days","Senior Data Engineer- US","https://wellfound.com/jobs/3921290-senior-data-engineer-us","Full-time","$120k – $160k • No equity","Remote only • Europe","5 years of exp","1 week ago","","","","","","","","","","","","",""
